ProjectID,Year,Region,ProjectType,TotalSpending,PrePlanningSpending,DesignSpending,ConstructionSpending,ProjectDuration,NumberOfStakeholders,QualityAssuranceScore,RiskLevel,ComplianceStatus,NumberOfChangeOrders,NumberOfInspections
PROJ00019,2016,Sur,Residencial,100000000.0,13833300.85,19115182.85,67051516.300000004,54,15,3,Alto,Cumplido,2,7
PROJ00020,2020,Centro,Infraestructura,47301386.4,3008426.76,9167167.4,35125792.24,48,30,3,Medio,Cumplido,2,8
PROJ00021,2023,Este,Residencial,100000000.0,11479130.41,13580405.81,74940463.78,41,36,4,Bajo,Cumplido,3,14
PROJ00022,2019,Este,Infraestructura,93301676.62,6769720.92,18037294.17,68494661.53,34,46,3,Medio,No Cumplido,1,2
PROJ00023,2018,Este,Residencial,21560405.36,2709365.26,2990794.95,15860245.150000002,58,5,9,Medio,Cumplido,2,11
PROJ00024,2015,Centro,Infraestructura,14406150.08,985660.28,2044791.07,11375698.73,50,42,2,Alto,Cumplido,5,13
PROJ00025,2018,Este,Infraestructura,44940172.77,5654754.67,6934594.27,32350823.830000002,48,42,1,Medio,Cumplido,2,13
PROJ00026,2020,Este,Infraestructura,8588124.14,863956.9,1633163.98,6091003.26,25,37,9,Medio,No Cumplido,1,8
PROJ00027,2015,Centro,Educación,100000000.0,12086861.14,13175571.37,74737567.49,52,17,9,Medio,Cumplido,3,13
PROJ00028,2017,Norte,Residencial,66685027.35,6805926.05,11096313.62,48782787.68000001,39,49,6,Medio,Cumplido,2,8
PROJ00029,2018,Este,Comercial,100000000.0,10565422.72,14019337.45,75415239.83,57,49,9,Bajo,Cumplido,1,14
PROJ00030,2023,Sur,Infraestructura,100000000.0,11044322.16,16588549.25,72367128.59,55,45,10,Bajo,Cumplido,2,2
PROJ00031,2016,Norte,Residencial,4217552.89,307182.87,773328.78,3137041.2399999993,29,37,3,Bajo,Cumplido,5,4
PROJ00032,2018,Centro,Infraestructura,100000000.0,10757480.92,13287531.85,75954987.23,57,50,2,Medio,Cumplido,7,14
PROJ00033,2018,Norte,Industrial,55128989.92,4210969.57,6817990.54,44100029.81,20,29,1,Bajo,Cumplido,2,10
PROJ00034,2018,Norte,Residencial,48080932.94,3843877.73,9038472.79,35198582.42,27,46,5,Bajo,Cumplido,3,7
PROJ00035,2022,Oeste,Industrial,26834445.96,2680823.89,3748871.36,20404750.71,20,39,2,Bajo,Cumplido,7,13
PROJ00036,2015,Centro,Comercial,24058203.22,1752052.11,4083486.29,18222664.82,14,44,7,Bajo,Cumplido,4,5
PROJ00037,2016,Norte,Industrial,37525488.81,4199028.25,5987221.12,27339239.44,36,35,10,Bajo,No Cumplido,1,9
PROJ00038,2015,Centro,Residencial,7268663.0,581179.01,1317275.38,5370208.61,26,50,3,Alto,Cumplido,3,9
PROJ00039,2019,Este,Residencial,6550731.27,449407.29,688466.98,5412857.0,27,40,7,Medio,Cumplido,6,8
PROJ00040,2022,Centro,Salud,12148988.47,1699303.23,1361805.6,9087879.64,54,6,10,Medio,Cumplido,2,7
PROJ00041,2018,Norte,Residencial,46799260.22,4379579.85,6795356.73,35624323.64,26,49,1,Medio,Cumplido,3,12
PROJ00042,2017,Centro,Residencial,100000000.0,14429275.66,11793786.5,73776937.84,23,7,4,Bajo,Cumplido,6,10
PROJ00043,2022,Oeste,Comercial,3638413.69,332813.0,546509.51,2759091.1799999997,60,24,1,Alto,Cumplido,3,1
PROJ00044,2017,Oeste,Educación,100000000.0,5105880.25,13229482.36,81664637.39,58,30,8,Bajo,Cumplido,2,6
PROJ00045,2015,Oeste,Residencial,100000000.0,6992179.88,17195445.02,75812375.10000001,54,14,5,Bajo,No Cumplido,3,9
PROJ00046,2015,Centro,Comercial,100000000.0,13353503.5,17875368.65,68771127.85,41,13,4,Bajo,Cumplido,2,2
PROJ00047,2019,Norte,Residencial,68322979.77,5877049.0,11566511.52,50879419.25,39,39,10,Alto,No Cumplido,3,10
PROJ00048,2020,Este,Infraestructura,100000000.0,13463769.22,12480484.4,74055746.38,40,6,8,Bajo,Cumplido,4,1
PROJ00049,2020,Sur,Comercial,14730767.42,1308399.96,1917766.04,11504601.420000002,37,9,1,Bajo,No Cumplido,7,4
PROJ00050,2021,Este,Comercial,29221062.77,2328111.44,3052658.68,23840292.65,57,10,6,Alto,Cumplido,3,10
PROJ00051,2023,Oeste,Residencial,14854657.07,1932184.99,2695788.0,10226684.08,16,29,1,Medio,Cumplido,4,3
PROJ00052,2019,Norte,Residencial,100000000.0,5722886.87,15052369.99,79224743.14,53,42,9,Alto,Cumplido,3,6
PROJ00053,2016,Centro,Comercial,34419559.04,4735964.83,4471713.48,25211880.73,28,10,5,Medio,Cumplido,5,8
PROJ00054,2019,Centro,Infraestructura,100000000.0,9198664.72,16758057.11,74043278.17,60,12,4,Medio,Cumplido,4,10
PROJ00055,2023,Norte,Residencial,100000000.0,8287101.23,19591051.78,72121846.99,22,47,2,Bajo,Cumplido,2,7
PROJ00056,2016,Norte,Salud,57154725.73,4114686.65,6187236.12,46852802.96,24,33,1,Medio,Cumplido,6,12
PROJ00057,2016,Oeste,Residencial,32640395.32,3572188.92,5705668.3,23362538.099999998,50,8,5,Medio,Cumplido,1,2
PROJ00058,2022,Oeste,Residencial,100000000.0,14479459.88,14356652.64,71163887.48,24,18,7,Medio,Cumplido,3,3
PROJ00059,2018,Norte,Comercial,31304181.52,2668427.78,4129862.63,24505891.11,20,42,7,Medio,Cumplido,2,9
PROJ00060,2021,Oeste,Salud,65603621.62,4793451.01,9420663.66,51389506.95,36,5,9,Bajo,Cumplido,3,2
PROJ00061,2022,Sur,Infraestructura,9991209.74,746994.79,1200729.4,8043485.549999999,41,16,6,Alto,Cumplido,2,5
PROJ00062,2017,Centro,Infraestructura,19159172.82,1132368.02,2285331.37,15741473.43,55,25,1,Bajo,Cumplido,1,15
PROJ00063,2015,Oeste,Educación,6382426.92,470202.88,841424.8,5070799.24,54,38,8,Medio,Cumplido,2,1
PROJ00064,2018,Oeste,Residencial,18129278.96,2074352.04,3439972.96,12614953.96,56,34,9,Alto,No Cumplido,4,7
PROJ00065,2020,Oeste,Residencial,100000000.0,12134490.8,10545746.65,77319762.55,50,27,7,Bajo,Cumplido,4,10
PROJ00066,2019,Norte,Industrial,14904554.37,1366157.11,1939475.86,11598921.4,34,31,6,Bajo,Cumplido,4,6
PROJ00067,2019,Sur,Educación,79455832.4,11470587.86,9913825.03,58071419.510000005,40,12,1,Alto,Cumplido,3,3
PROJ00068,2021,Oeste,Infraestructura,100000000.0,6669634.98,16012798.8,77317566.22,39,38,6,Bajo,Cumplido,3,8
PROJ00069,2019,Sur,Industrial,100000000.0,12157093.59,12070745.04,75772161.37,28,43,6,Medio,Cumplido,6,13
PROJ00070,2019,Sur,Comercial,36993116.24,3348414.56,3738822.25,29905879.43,13,41,2,Medio,Cumplido,3,8
PROJ00071,2018,Norte,Industrial,31811098.09,2352036.42,3670535.98,25788525.69,36,22,2,Bajo,Cumplido,5,7
PROJ00072,2019,Oeste,Industrial,100000000.0,6946486.14,13619336.61,79434177.25,49,14,3,Bajo,Cumplido,2,10
PROJ00073,2019,Sur,Educación,1907427.08,127342.33,343998.55,1436086.2,36,50,8,Medio,Cumplido,2,3
PROJ00074,2023,Oeste,Infraestructura,100000000.0,14778553.23,18469184.27,66752262.5,15,30,6,Medio,Cumplido,4,1
PROJ00075,2019,Oeste,Infraestructura,100000000.0,8894246.49,16465987.29,74639766.22,50,42,7,Medio,Cumplido,2,7
PROJ00076,2018,Este,Industrial,21169517.69,2345875.1,2993050.79,15830591.8,55,22,5,Medio,No Cumplido,5,5
PROJ00077,2022,Centro,Residencial,100000000.0,9323695.76,16515558.3,74160745.94,43,32,4,Bajo,Cumplido,4,9
PROJ00078,2020,Oeste,Residencial,100000000.0,13109638.86,11952568.01,74937793.13,43,31,9,Medio,Cumplido,4,12
PROJ00079,2020,Norte,Industrial,4189692.3,527309.21,750403.52,2911979.57,50,31,9,Medio,Cumplido,1,10
PROJ00080,2015,Centro,Residencial,2046153.35,111871.12,295317.71,1638964.52,30,19,2,Bajo,Cumplido,3,12
PROJ00081,2016,Norte,Comercial,13559190.78,1547606.27,2665024.42,9346560.09,25,35,8,Medio,Cumplido,2,8
PROJ00082,2020,Norte,Industrial,16900955.2,2482448.3,2126327.53,12292179.37,42,44,1,Medio,Cumplido,3,6
PROJ00083,2018,Norte,Comercial,100000000.0,13504249.08,16394406.64,70101344.28,16,43,1,Medio,Cumplido,1,15
PROJ00084,2015,Este,Residencial,45986711.49,3659044.44,8523816.51,33803850.54000001,21,44,10,Bajo,Cumplido,4,4
PROJ00085,2020,Centro,Salud,21183325.41,2353330.36,2640079.68,16189915.370000001,41,10,2,Medio,Cumplido,4,5
PROJ00086,2015,Norte,Infraestructura,11157142.47,1060335.5,1140270.68,8956536.290000001,38,46,7,Bajo,Cumplido,3,5
PROJ00087,2016,Este,Infraestructura,47740496.59,5177815.88,6860433.75,35702246.96,47,8,5,Bajo,Cumplido,0,12
PROJ00088,2017,Centro,Comercial,79010098.25,8389041.59,11945328.49,58675728.169999994,47,19,10,Bajo,Cumplido,4,2
PROJ00089,2019,Norte,Industrial,100000000.0,12332281.07,12160409.53,75507309.4,43,31,4,Alto,Cumplido,3,2
PROJ00090,2017,Norte,Residencial,100000000.0,8208190.74,18045518.43,73746290.83000001,24,27,3,Medio,Cumplido,5,7
PROJ00091,2015,Oeste,Educación,100000000.0,9323217.57,17289539.35,73387243.08000001,29,24,5,Medio,No Cumplido,1,7
PROJ00092,2018,Centro,Residencial,14599093.13,1575391.89,2285267.72,10738433.52,20,15,8,Bajo,Cumplido,4,12
PROJ00093,2017,Sur,Comercial,12495994.98,634907.31,2478210.23,9382877.44,40,50,5,Alto,Cumplido,4,4
PROJ00094,2015,Norte,Industrial,71166832.64,5491660.96,11145796.1,54529375.58,27,27,6,Medio,Cumplido,2,1
PROJ00095,2022,Norte,Residencial,63169128.38,6229408.38,8931299.33,48008420.67,40,17,9,Medio,Cumplido,4,12
PROJ00096,2020,Norte,Salud,100000000.0,6805076.44,11511716.69,81683206.87,52,24,9,Medio,Cumplido,2,12
PROJ00097,2015,Oeste,Residencial,100000000.0,12190729.67,19684299.79,68124970.53999999,46,34,7,Bajo,No Cumplido,3,8
PROJ00098,2017,Oeste,Residencial,2326989.04,140835.15,337647.08,1848506.81,32,38,8,Alto,Cumplido,1,4
PROJ00099,2022,Oeste,Comercial,25139711.75,3074213.79,3355023.81,18710474.150000002,30,8,6,Bajo,Cumplido,1,10
PROJ00100,2017,Centro,Infraestructura,12251729.73,1619942.33,2168499.63,8463287.77,59,31,9,Bajo,Cumplido,5,1
PROJ00101,2017,Este,Comercial,100000000.0,11855927.73,18020381.53,70123690.74,12,33,2,Bajo,Cumplido,3,9
PROJ00102,2018,Centro,Infraestructura,100000000.0,14172638.65,10916481.59,74910879.75999999,59,40,1,Alto,Cumplido,2,15
PROJ00103,2018,Este,Residencial,100000000.0,12116776.43,10873355.32,77009868.25,31,40,10,Bajo,Cumplido,2,7
PROJ00104,2017,Sur,Comercial,100000000.0,7211882.05,10885783.02,81902334.93,24,14,7,Bajo,Cumplido,3,2
PROJ00105,2018,Centro,Industrial,26772382.97,3539333.94,2766704.87,20466344.159999996,33,33,4,Bajo,Cumplido,1,6
PROJ00106,2019,Norte,Comercial,100000000.0,7432800.17,15616723.76,76950476.07,33,26,5,Alto,Cumplido,3,2
PROJ00107,2016,Sur,Infraestructura,42761533.28,5693862.33,5062536.76,32005134.190000005,19,19,6,Bajo,Cumplido,4,8
PROJ00108,2017,Norte,Salud,100000000.0,10888520.02,16684460.21,72427019.77000001,34,20,8,Medio,Cumplido,4,13
PROJ00109,2016,Este,Infraestructura,13398842.51,1356838.14,2476145.52,9565858.85,21,35,4,Bajo,No Cumplido,5,13
PROJ00110,2019,Oeste,Industrial,100000000.0,10789833.32,15266716.48,73943450.2,12,13,3,Bajo,Cumplido,1,4
PROJ00111,2021,Este,Educación,72650248.15,6491995.07,13289264.31,52868988.77,29,25,6,Bajo,Cumplido,4,7
PROJ00112,2023,Centro,Infraestructura,11142201.87,858473.65,1522980.0,8760748.219999999,17,31,6,Medio,Cumplido,1,12
PROJ00113,2017,Sur,Residencial,33839607.03,3249934.47,6061618.34,24528054.220000003,24,19,9,Medio,Cumplido,2,1
PROJ00114,2018,Sur,Residencial,54123975.62,3453416.51,9924073.39,40746485.72,60,33,6,Bajo,Cumplido,2,10
PROJ00115,2015,Sur,Industrial,12998575.45,1455370.14,1606240.85,9936964.459999999,13,45,2,Medio,No Cumplido,4,13
PROJ00116,2015,Este,Residencial,8790203.61,920210.5,1749460.66,6120532.449999999,19,33,10,Alto,Cumplido,2,6
PROJ00117,2021,Centro,Comercial,100000000.0,11730784.15,17241663.63,71027552.22,47,24,1,Bajo,Cumplido,2,9
PROJ00118,2015,Oeste,Infraestructura,60043377.2,6834537.32,6302750.6,46906089.28,40,40,9,Alto,No Cumplido,4,8
PROJ00119,2021,Sur,Residencial,70015203.37,9969887.76,8152942.58,51892373.03000001,28,8,1,Bajo,Cumplido,5,11
PROJ00120,2018,Oeste,Salud,100000000.0,10171468.95,18361804.25,71466726.8,41,18,7,Medio,Cumplido,1,9
PROJ00121,2018,Sur,Educación,13624055.56,698200.22,2194917.68,10730937.66,46,21,5,Medio,Cumplido,1,5
PROJ00122,2023,Sur,Infraestructura,98758829.37,13631994.36,14229089.09,70897745.92,13,42,3,Bajo,Cumplido,0,1
PROJ00123,2023,Este,Salud,5973255.68,370924.78,919647.48,4682683.42,48,16,5,Bajo,Cumplido,3,11
PROJ00124,2023,Norte,Infraestructura,100000000.0,12291944.68,12853530.91,74854524.41,28,19,9,Bajo,Cumplido,3,14
PROJ00125,2017,Sur,Infraestructura,31602498.31,2204034.06,4978728.48,24419735.77,56,15,5,Alto,Cumplido,4,2
PROJ00126,2018,Norte,Educación,5396062.87,336336.43,552316.41,4507410.03,40,30,4,Bajo,Cumplido,2,6
PROJ00127,2017,Este,Comercial,100000000.0,14547456.63,19644491.55,65808051.82000001,14,40,5,Bajo,Cumplido,2,11
PROJ00128,2015,Sur,Infraestructura,100000000.0,5357107.4,19999620.17,74643272.42999999,12,30,9,Medio,Cumplido,3,6
PROJ00129,2023,Centro,Residencial,42315696.39,2243576.07,5192095.06,34880025.26,31,38,10,Medio,Cumplido,0,9
PROJ00130,2023,Sur,Infraestructura,6052919.68,574021.6,821534.77,4657363.3100000005,54,14,8,Bajo,Cumplido,5,13
PROJ00131,2018,Sur,Infraestructura,90123381.33,9784719.13,11972008.88,68366653.32000001,35,31,1,Bajo,Cumplido,8,4
PROJ00132,2023,Centro,Residencial,100000000.0,6766100.76,12478407.44,80755491.8,53,15,6,Bajo,Cumplido,1,13
PROJ00133,2017,Centro,Comercial,94414251.71,11562705.03,10475969.74,72375576.94,30,31,5,Alto,Cumplido,3,13
PROJ00134,2023,Sur,Residencial,100000000.0,14392021.6,16889380.75,68718597.65,16,11,4,Alto,Cumplido,4,7
PROJ00135,2019,Oeste,Comercial,3709494.99,370385.8,494951.28,2844157.91,15,46,8,Alto,Cumplido,4,5
PROJ00136,2018,Este,Infraestructura,25324404.05,1574574.49,3027528.63,20722300.930000003,16,41,5,Medio,Cumplido,3,15
PROJ00137,2015,Oeste,Educación,63456377.31,8525243.44,9724245.42,45206888.45,57,34,1,Medio,Cumplido,2,14
PROJ00138,2019,Sur,Comercial,100000000.0,14429092.83,13741167.39,71829739.78,38,24,4,Medio,Cumplido,4,1
PROJ00139,2018,Norte,Infraestructura,100000000.0,13328224.21,11067119.69,75604656.1,51,8,3,Bajo,Cumplido,0,13
PROJ00140,2021,Centro,Comercial,45071297.57,4798697.8,6247503.19,34025096.580000006,27,39,8,Alto,Cumplido,3,4
PROJ00141,2023,Centro,Comercial,100000000.0,13397460.5,17124765.92,69477773.58,18,45,10,Bajo,No Cumplido,6,5
PROJ00142,2015,Norte,Comercial,100000000.0,8768836.55,15809853.4,75421310.05,38,45,2,Alto,Cumplido,2,10
PROJ00143,2023,Este,Comercial,55340265.06,5532233.46,8097043.03,41710988.57,13,7,6,Alto,Cumplido,4,5
PROJ00144,2020,Este,Salud,100000000.0,5813024.12,19436459.6,74750516.28,18,12,6,Alto,Cumplido,2,4
PROJ00145,2015,Sur,Infraestructura,100000000.0,8241552.03,17423964.12,74334483.85,44,34,4,Alto,Cumplido,1,3
PROJ00146,2021,Sur,Comercial,25960542.43,3675107.58,5047940.9,17237493.950000003,57,22,5,Medio,Cumplido,1,8
PROJ00147,2020,Centro,Infraestructura,56803695.49,7688109.64,10239468.73,38876117.120000005,33,46,8,Bajo,Cumplido,4,5
PROJ00148,2018,Norte,Educación,63253525.09,6920925.57,7299788.61,49032810.910000004,17,34,8,Alto,Cumplido,3,12
PROJ00149,2016,Norte,Infraestructura,25083944.41,3525211.13,3027306.65,18531426.630000003,25,27,10,Bajo,Cumplido,2,13
PROJ00150,2023,Oeste,Residencial,100000000.0,9269277.15,10660791.71,80069931.13999999,51,38,4,Bajo,Cumplido,2,14
PROJ00151,2015,Este,Residencial,24802086.75,3565574.57,3464242.53,17772269.65,38,18,2,Medio,Cumplido,2,5
PROJ00152,2019,Este,Industrial,100000000.0,14458708.01,14939379.92,70601912.07,38,22,4,Medio,Cumplido,3,10
PROJ00153,2021,Sur,Comercial,100000000.0,10699678.31,19897606.77,69402714.92,34,12,7,Bajo,Cumplido,4,1
PROJ00154,2020,Sur,Industrial,100000000.0,5502031.86,19040191.67,75457776.47,25,41,4,Medio,Cumplido,0,5
PROJ00155,2022,Este,Infraestructura,45807419.94,6342779.09,5554334.21,33910306.63999999,52,9,3,Medio,Cumplido,4,15
PROJ00156,2023,Oeste,Educación,9738582.84,1374492.22,1361979.94,7002110.68,34,32,8,Medio,No Cumplido,2,13
PROJ00157,2023,Sur,Infraestructura,100000000.0,14430536.03,15146810.45,70422653.52,28,25,2,Bajo,Cumplido,6,1
PROJ00158,2017,Sur,Residencial,100000000.0,9720196.75,15727515.18,74552288.07,36,47,9,Bajo,Cumplido,2,14
PROJ00159,2023,Oeste,Infraestructura,100000000.0,7912931.77,12370331.82,79716736.41,56,11,6,Alto,Cumplido,3,9
PROJ00160,2021,Centro,Comercial,100000000.0,5875129.75,12885457.26,81239412.99,24,16,6,Medio,Cumplido,1,11
PROJ00161,2021,Este,Residencial,17912921.59,2470791.65,2894273.18,12547856.76,25,28,5,Bajo,Cumplido,5,8
PROJ00162,2016,Norte,Infraestructura,90738300.7,11097478.15,12137873.09,67502949.46,55,14,8,Alto,Cumplido,0,14
PROJ00163,2021,Norte,Comercial,47648508.64,6202909.62,8194214.74,33251384.28,48,35,6,Medio,Cumplido,4,5
PROJ00164,2023,Norte,Residencial,6244082.13,792415.44,810702.3,4640964.39,36,44,9,Medio,Cumplido,2,14
PROJ00165,2023,Norte,Salud,100000000.0,13173654.6,12104210.29,74722135.11000001,51,20,4,Bajo,Cumplido,1,15
PROJ00166,2018,Norte,Residencial,24548095.62,1499863.27,3774637.65,19273594.700000003,48,17,8,Medio,No Cumplido,4,6
PROJ00167,2017,Centro,Residencial,10959780.45,918734.38,1212157.07,8828888.999999998,54,31,6,Medio,Cumplido,0,2
PROJ00168,2018,Este,Infraestructura,100000000.0,13141704.5,19347151.61,67511143.89,57,10,7,Bajo,Cumplido,1,4
PROJ00169,2021,Sur,Infraestructura,81234592.5,10026591.7,9933015.28,61274985.519999996,17,42,5,Medio,Cumplido,1,12
PROJ00170,2018,Norte,Educación,100000000.0,12667563.58,14616167.53,72716268.89,16,10,1,Bajo,No Cumplido,0,8
PROJ00171,2021,Oeste,Infraestructura,34486053.54,4343900.27,5916634.97,24225518.3,52,23,1,Alto,Cumplido,3,8
PROJ00172,2020,Norte,Residencial,9782944.14,554614.7,1569534.03,7658795.410000001,30,18,1,Bajo,Cumplido,2,1
PROJ00173,2022,Centro,Industrial,100000000.0,13260735.74,12912939.35,73826324.91000001,47,5,1,Alto,Cumplido,2,1
PROJ00174,2015,Este,Comercial,100000000.0,5859126.49,19358823.59,74782049.92,13,23,5,Bajo,Cumplido,1,13
PROJ00175,2023,Oeste,Residencial,100000000.0,13224053.4,14563174.38,72212772.22,46,33,3,Medio,Cumplido,3,14
PROJ00176,2019,Norte,Residencial,31320783.23,2559184.51,5265982.82,23495615.9,16,43,8,Bajo,Cumplido,6,10
PROJ00177,2021,Centro,Comercial,27806073.45,1980137.54,3183954.65,22641981.26,56,10,7,Alto,Cumplido,3,9
PROJ00178,2020,Norte,Salud,6255209.3,435303.72,789592.43,5030313.15,36,24,6,Alto,Cumplido,5,2
PROJ00179,2023,Norte,Educación,76858460.52,4436472.9,8941592.79,63480394.82999999,15,22,8,Bajo,Cumplido,1,10
PROJ00180,2017,Oeste,Industrial,100000000.0,9982630.07,16131131.79,73886238.14000002,60,50,8,Medio,No Cumplido,3,2
PROJ00181,2018,Centro,Infraestructura,100000000.0,12846024.31,10790472.54,76363503.15,37,43,9,Bajo,Cumplido,4,11
PROJ00182,2022,Este,Residencial,100000000.0,11504411.76,14223100.72,74272487.52,55,30,6,Bajo,Cumplido,2,11
PROJ00183,2020,Centro,Comercial,2842853.03,424166.03,400317.59,2018369.41,21,34,6,Bajo,Cumplido,5,11
PROJ00184,2018,Este,Comercial,5850512.98,743615.85,691766.87,4415130.260000001,33,19,6,Alto,Cumplido,1,13
PROJ00185,2019,Este,Infraestructura,100000000.0,12282893.46,11815671.72,75901434.82,29,8,1,Bajo,Cumplido,1,11
PROJ00186,2020,Este,Residencial,57133295.2,5206678.2,7588842.54,44337774.46,27,39,3,Medio,Cumplido,4,7
PROJ00187,2018,Este,Residencial,100000000.0,6208091.56,15176431.81,78615476.63,43,8,9,Bajo,Cumplido,6,6
PROJ00188,2018,Centro,Infraestructura,41887901.12,3685122.9,6756959.87,31445818.349999998,59,44,3,Bajo,Cumplido,0,14
PROJ00189,2022,Oeste,Educación,25452026.17,3460584.64,4346744.58,17644696.950000003,34,16,6,Alto,Cumplido,3,11
PROJ00190,2022,Este,Comercial,24655872.57,2060852.98,4464427.81,18130591.78,33,45,9,Medio,Cumplido,1,1
PROJ00191,2018,Sur,Industrial,22726659.96,1414771.86,3185449.49,18126438.61,12,46,3,Medio,Cumplido,0,8
PROJ00192,2017,Este,Infraestructura,100000000.0,10313550.08,14122538.22,75563911.7,57,26,6,Bajo,No Cumplido,1,9
PROJ00193,2018,Sur,Infraestructura,25235633.17,2794714.03,3929158.92,18511760.22,53,33,9,Alto,Cumplido,4,15
PROJ00194,2022,Norte,Salud,23396948.0,1446665.0,4209215.58,17741067.42,36,29,10,Bajo,Cumplido,3,4
PROJ00195,2022,Este,Residencial,100000000.0,12663105.86,15746026.29,71590867.85,31,11,8,Bajo,Cumplido,1,10
PROJ00196,2020,Sur,Residencial,30327523.14,3056719.87,3503863.3,23766939.97,47,15,6,Medio,Cumplido,3,6
PROJ00197,2016,Este,Residencial,13325403.3,1448654.79,1521977.37,10354771.14,48,22,10,Alto,Cumplido,3,3
PROJ00198,2017,Centro,Residencial,54485318.92,2933504.4,5869245.06,45682569.46,13,6,7,Bajo,Cumplido,7,1
PROJ00199,2017,Oeste,Infraestructura,7218125.18,516666.29,723928.07,5977530.819999999,58,23,2,Alto,No Cumplido,2,10
PROJ00200,2023,Norte,Infraestructura,13203906.03,1241786.23,2311848.31,9650271.489999998,55,20,5,Bajo,Cumplido,2,2
PROJ00201,2016,Oeste,Educación,32956275.51,1990851.13,3807148.62,27158275.76,41,40,2,Alto,Cumplido,2,7
PROJ00202,2020,Oeste,Residencial,100000000.0,12298786.78,10505958.03,77195255.19,34,17,9,Medio,Cumplido,4,1
PROJ00203,2023,Centro,Residencial,14301406.41,1025093.47,2435795.65,10840517.29,40,42,2,Bajo,Cumplido,2,9
PROJ00204,2019,Sur,Residencial,100000000.0,8612797.78,14068263.66,77318938.56,32,8,7,Bajo,No Cumplido,3,7
PROJ00205,2015,Norte,Infraestructura,65791031.99,3509256.88,11679380.69,50602394.42,31,10,3,Medio,Cumplido,7,7
PROJ00206,2017,Oeste,Residencial,100000000.0,7531015.32,16567812.51,75901172.17,21,22,1,Bajo,Cumplido,2,11
PROJ00207,2020,Este,Salud,59681779.38,8051395.28,8523622.97,43106761.13,47,16,6,Medio,No Cumplido,3,12
PROJ00208,2020,Sur,Residencial,14716683.51,1520994.03,2920596.75,10275092.73,46,50,1,Alto,Cumplido,5,12
PROJ00209,2015,Norte,Residencial,40773147.92,5023782.17,4468383.11,31280982.64,30,25,7,Bajo,Cumplido,4,12
PROJ00210,2023,Oeste,Residencial,56908629.18,4026784.34,5968306.87,46913537.970000006,53,12,6,Medio,Cumplido,4,10
PROJ00211,2016,Oeste,Salud,71960168.84,5009708.78,9578559.93,57371900.13,48,31,7,Medio,Cumplido,3,10
PROJ00212,2016,Sur,Residencial,63789039.92,6913626.36,12523714.02,44351699.54000001,53,38,1,Medio,Cumplido,5,15
PROJ00213,2015,Este,Industrial,100000000.0,6920017.89,10133094.25,82946887.86,23,40,9,Bajo,Cumplido,2,13
PROJ00214,2018,Oeste,Industrial,15836851.57,1104973.52,1678940.04,13052938.010000002,35,32,7,Medio,Cumplido,3,10
